"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","0.315964","0.313853","0.328516","0.309553","1.68B","0.67%"
"12/30/2024","0.313868","0.314281","0.322951","0.306930","1.90B","-0.13%"
"12/29/2024","0.314269","0.324238","0.329441","0.311975","1.30B","-3.07%"
"12/28/2024","0.324226","0.311800","0.326986","0.311457","1.03B","3.99%"
"12/27/2024","0.311800","0.312739","0.324650","0.309023","1.63B","-0.30%"
"12/26/2024","0.312750","0.334255","0.337836","0.308611","1.85B","-6.43%"
"12/25/2024","0.334245","0.337011","0.341937","0.326731","1.83B","-0.82%"
"12/24/2024","0.337012","0.324850","0.340280","0.316234","2.30B","3.74%"
"12/23/2024","0.324847","0.312696","0.328482","0.303143","3.18B","3.89%"
"12/22/2024","0.312698","0.320071","0.324320","0.305317","3.08B","-2.31%"
"12/21/2024","0.320086","0.317773","0.349800","0.314287","5.03B","0.72%"
"12/20/2024","0.317795","0.314338","0.328813","0.264066","9.38B","1.11%"
"12/19/2024","0.314315","0.358599","0.367161","0.301553","7.48B","-12.35%"
"12/18/2024","0.358597","0.394218","0.396299","0.352967","3.76B","-9.04%"
"12/17/2024","0.394257","0.401914","0.410110","0.391316","2.09B","-1.91%"
"12/16/2024","0.401918","0.406540","0.414696","0.392510","2.35B","-1.08%"
"12/15/2024","0.406288","0.398366","0.410979","0.392734","1.56B","1.99%"
"12/14/2024","0.398364","0.408853","0.413932","0.387741","1.97B","-2.57%"
"12/13/2024","0.408852","0.406093","0.412081","0.399662","2.50B","0.67%"
"12/12/2024","0.406118","0.414197","0.423948","0.401623","3.39B","-1.96%"
"12/11/2024","0.414218","0.393944","0.418922","0.375805","4.15B","5.07%"
"12/10/2024","0.394237","0.414676","0.422706","0.366279","7.18B","-4.93%"
"12/09/2024","0.414694","0.466621","0.466790","0.388145","7.28B","-11.13%"
"12/08/2024","0.466631","0.453130","0.483816","0.447472","4.58B","2.98%"
"12/07/2024","0.453147","0.434834","0.465866","0.431150","4.70B","4.21%"
"12/06/2024","0.434837","0.427072","0.441420","0.420120","3.88B","1.75%"
